t_s,mode,v_cmd_mps,omega_cmd_radps,delta_v_cmd_mps,v_left_est_mps,v_right_est_mps,rpm_front_left,rpm_rear_left,rpm_front_right,rpm_rear_right,epsilon_x_mm,epsilon_y_mm,theta_rad,curvature_inv_mm,confidence,e_x_m_filtered,theta_rad_filtered,de_x_f,dtheta_f,kappa_m,gamma,v_target_mps,omega_pp_radps,omega_pd_radps,omega_target_radps,delta_v_target_mps,error_age_s
1.3139533996582031,waiting_for_enter_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30000000000000004,120.0,-0.002,-0.001888,1.0,0.0,0.0,0.0,0.0,,,,,,,,1.013563871383667
1.3528859615325928,waiting_for_enter_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30000000000000004,120.0,-0.002,-0.001888,1.0,0.0,0.0,0.0,0.0,,,,,,,,1.0527560710906982
1.383005142211914,waiting_for_enter_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30000000000000004,120.0,-0.002,-0.001888,1.0,0.0,0.0,0.0,0.0,,,,,,,,1.0827181339263916
1.4172439575195312,waiting_for_enter_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30000000000000004,120.0,-0.002,-0.001888,1.0,0.0,0.0,0.0,0.0,,,,,,,,1.1169049739837646
1.448969841003418,waiting_for_enter_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30000000000000004,120.0,-0.002,-0.001888,1.0,0.0,0.0,0.0,0.0,,,,,,,,1.1487207412719727
1.4893825054168701,waiting_for_enter_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30000000000000004,120.0,-0.002,-0.001888,1.0,0.0,0.0,0.0,0.0,,,,,,,,1.1891462802886963
1.5208983421325684,waiting_for_enter_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30000000000000004,120.0,-0.002,-0.001888,1.0,0.0,0.0,0.0,0.0,,,,,,,,1.2205705642700195
1.5648987293243408,waiting_for_enter_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30000000000000004,120.0,-0.002,-0.001888,1.0,0.0,0.0,0.0,0.0,,,,,,,,1.2646300792694092
1.6052875518798828,waiting_for_enter_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30000000000000004,120.0,-0.002,-0.001888,1.0,0.0,0.0,0.0,0.0,,,,,,,,1.304957628250122
1.6327247619628906,waiting_for_enter_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30000000000000004,120.0,-0.002,-0.001888,1.0,0.0,0.0,0.0,0.0,,,,,,,,1.3323769569396973
1.658134937286377,waiting_for_enter_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30000000000000004,120.0,-0.002,-0.001888,1.0,0.0,0.0,0.0,0.0,,,,,,,,1.3578627109527588
1.6897752285003662,waiting_for_enter_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30000000000000004,120.0,-0.002,-0.001888,1.0,0.0,0.0,0.0,0.0,,,,,,,,1.3894941806793213
1.7204399108886719,waiting_for_enter_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30000000000000004,120.0,-0.003,-0.0018809999999999999,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.013259649276733398
1.7588660717010498,waiting_for_enter_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30000000000000004,120.0,-0.003,-0.0018809999999999999,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.05167746543884277
1.7825489044189453,waiting_for_enter_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30000000000000004,120.0,-0.003,-0.0018809999999999999,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.07531452178955078
1.8166100978851318,waiting_for_enter_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30000000000000004,120.0,-0.003,-0.0018809999999999999,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.10940837860107422
1.8533642292022705,waiting_for_enter_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30000000000000004,120.0,-0.003,-0.0018809999999999999,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.1462090015411377
1.8822410106658936,waiting_for_enter_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30000000000000004,120.0,-0.003,-0.0018809999999999999,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.1749866008758545
1.919243574142456,waiting_for_enter_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30000000000000004,120.0,-0.003,-0.0018809999999999999,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.21207618713378906
1.9508056640625,waiting_for_enter_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30000000000000004,120.0,-0.003,-0.0018809999999999999,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.24362468719482422
